Movie title	Action	Animation	Comedy	Drama	Kids	Mistery	Musical	SF
Moonlight (2016)	0	0	0	1	0	0	0	0
Zootopia (2016)	1	1	1	0	0	0	0	0
Arrival (2016)	0	0	0	1	0	1	0	1
Hell or High Water (2016)	0	0	0	1	0	1	0	0
La La Land (2016)	0	0	1	1	0	0	1	0
The Jungle Book (2016)	1	0	0	0	1	0	0	0
Manchester by the Sea (2016)	0	0	0	1	0	0	0	0
Finding Dory (2016)	0	1	0	0	0	0	0	0
Captain America: Civil War (2016)	1	0	0	0	0	0	0	1
Moana (2016)	1	1	0	0	0	0	0	0
