Name,Zip,Group,Latitude,Longitude,City,State
Zaalouk Market & Deli Grocery,94109,Cluster 12,37.78774,-122.420251,San Francisco,CA
1-11 Lilac St Apts,94110,Cluster 11,37.751929,-122.417839,San Francisco,CA
Sunflower Restaurant,94103,Cluster 5,37.764896,-122.422269,San Francisco,CA
Bay Music & Entertainment Inc,94109,Cluster 2,37.795667,-122.423479,San Francisco,CA
Impark 0376,94109,Cluster 6,37.789071,-122.417371,San Francisco,CA
Geologica Inc,94103,Cluster 4,37.787454,-122.403428,San Francisco,CA
Impark 0315,94109,Cluster 12,37.789429,-122.422064,San Francisco,CA
Impark 0324,94103,Cluster 4,37.786682,-122.404674,San Francisco,CA
Impark 0370,94103,Cluster 4,37.781801,-122.40454,San Francisco,CA
Impark 0377,94103,Cluster 4,37.787036,-122.403048,San Francisco,CA
1533 Larkin Rentals,94109,Cluster 6,37.792189,-122.419341,San Francisco,CA
Laura Dansky Phd,94109,Cluster 12,37.787812,-122.427254,San Francisco,CA
1462 California Apts,94109,Cluster 6,37.790863,-122.418424,San Francisco,CA
1534 Jackson Apts,94109,Cluster 2,37.794276,-122.420367,San Francisco,CA
Laurie Isenberg,94110,Cluster 7,37.74267,-122.417812,San Francisco,CA
Sternberg Benjamin Architects,94103,Cluster 9,37.772151,-122.410551,San Francisco,CA
871 San Jose Apts,94110,Cluster 7,37.741268,-122.423613,San Francisco,CA
Popular Mechanix,94103,Cluster 5,37.76835,-122.418982,San Francisco,CA
Mana Allison & Associates Inc,94109,Cluster 12,37.787397,-122.423011,San Francisco,CA
834baystreet,94109,Cluster 2,37.804688,-122.420942,San Francisco,CA
Cake Gallery Inc The,94103,Cluster 9,37.773836,-122.411676,San Francisco,CA
Liang Dr Medical Office,94109,Cluster 2,37.794086,-122.423016,San Francisco,CA
Greene Howard C Inc,94103,Cluster 9,37.77228,-122.414562,San Francisco,CA
1526 Folsom St Building,94103,Cluster 9,37.771463,-122.414493,San Francisco,CA
Fortuin Floyd D,94109,Cluster 6,37.789609,-122.417122,San Francisco,CA
1560 Folsom St Building,94103,Cluster 9,37.771227,-122.414721,San Francisco,CA
Academy Of Art University,94109,Cluster 12,37.792972,-122.422943,San Francisco,CA
Davis Paul Management Group,94109,Cluster 6,37.792775,-122.41945,San Francisco,CA
Jewelry By Peter,94103,Cluster 1,37.767893,-122.406752,San Francisco,CA
1545 Larkin St Apartments,94109,Cluster 6,37.792325,-122.419365,San Francisco,CA
Inter World Trading Co Inc,94103,Cluster 4,37.784697,-122.407187,San Francisco,CA
Academy Of Art University,94109,Cluster 6,37.790564,-122.413156,San Francisco,CA
135 Kissling St Building,94103,Cluster 9,37.772228,-122.415471,San Francisco,CA
1860 Jackson Apts,94109,Cluster 12,37.793613,-122.425587,San Francisco,CA
Mission St News,94110,Cluster 5,37.763605,-122.419544,San Francisco,CA
