Name,Zip,Group,Latitude,Longitude,City,State
Smith Novelty Company,94103,Cluster 9,37.7718,-122.409196,San Francisco,CA
Emeric Goodman Assoc,94109,Cluster 12,37.785651,-122.42172,San Francisco,CA
Kentucky Fried Chicken,94109,Cluster 12,37.783118,-122.419042,San Francisco,CA
677 Valencia Apt,94110,Cluster 5,37.762013,-122.421608,San Francisco,CA
Sharon Till & Associates,94109,Cluster 12,37.785289,-122.420716,San Francisco,CA
Kenly Warren,94109,Cluster 6,37.789056,-122.417493,San Francisco,CA
Grainger,94103,Cluster 1,37.773712,-122.402387,San Francisco,CA
Hana Ichi Flowers,94109,Cluster 12,37.785618,-122.419688,San Francisco,CA
Windesheim Design,94110,Cluster 7,37.743196,-122.418159,San Francisco,CA
2 Boos Basement,94103,Cluster 4,37.780519,-122.406173,San Francisco,CA
Leix Construction Co,94109,Cluster 12,37.789694,-122.419865,San Francisco,CA
3547-51 24th St Bldg,94110,Cluster 11,37.751998,-122.422494,San Francisco,CA
Pinecrest Cleaners,94109,Cluster 6,37.790313,-122.415145,San Francisco,CA
Transworld Business Inc,94103,Cluster 9,37.77538,-122.409575,San Francisco,CA
Pioneer Builders,94110,Cluster 7,37.736419,-122.424341,San Francisco,CA
Last Gasp,94110,Cluster 11,37.759139,-122.410687,San Francisco,CA
Edwards Jewelery-Imports,94103,Cluster 1,37.77167,-122.404961,San Francisco,CA
Z Jewelery,94103,Cluster 1,37.77167,-122.404961,San Francisco,CA
Golden City Building Supply,94109,Cluster 2,37.795731,-122.416224,San Francisco,CA
R L Jones Construction Co,94110,Cluster 3,37.738455,-122.41572,San Francisco,CA
Levy Myrtle Trust-Harband M Tr,94109,Cluster 2,37.793184,-122.42199,San Francisco,CA
L & Z Jewelry Manufacture Co,94103,Cluster 4,37.784697,-122.407187,San Francisco,CA
Hanamiyo Productions,94109,Cluster 12,37.793441,-122.424649,San Francisco,CA
Edward Mullins Laundromat,94110,Cluster 11,37.751998,-122.422494,San Francisco,CA
Legrin Inc,94103,Cluster 4,37.784904,-122.406929,San Francisco,CA
Clark Ronald Arthur-Md,94109,Cluster 6,37.789609,-122.417122,San Francisco,CA
Hanna & Brophy,94103,Cluster 1,37.76673,-122.402803,San Francisco,CA
Nob Hill Motor Inn,94109,Cluster 2,37.794944,-122.422194,San Francisco,CA
Pacific Commercial Leasing,94103,Cluster 4,37.787454,-122.403428,San Francisco,CA
90 Cumberland St Apts,94110,Cluster 5,37.759065,-122.425513,San Francisco,CA
Casa Guadalupe #2,94110,Cluster 11,37.750416,-122.418268,San Francisco,CA
88 Cumberland St Apts,94110,Cluster 5,37.759069,-122.425426,San Francisco,CA
Prosthetic Dentistry,94110,Cluster 4,37.789331,-122.407788,San Francisco,CA
Roger Philipp Cpa Review,94103,Cluster 5,37.767437,-122.422137,San Francisco,CA
Pcl,94103,Cluster 4,37.787454,-122.403428,San Francisco,CA
215 San Jose Parking,94110,Cluster 11,37.751697,-122.421556,San Francisco,CA
760 North Point Apt,94109,Cluster 2,37.805835,-122.419611,San Francisco,CA
1609 Franklin St Apartments,94109,Cluster 12,37.789554,-122.423857,San Francisco,CA
873-877 Dolores St Apartments,94110,Cluster 11,37.755474,-122.425429,San Francisco,CA
Stanislaus Imports Inc,94103,Cluster 9,37.769669,-122.414311,San Francisco,CA
1551 Hyde Apts,94109,Cluster 2,37.795148,-122.41824,San Francisco,CA
Advance Pleating & Button Co,94110,Cluster 11,37.759688,-122.410927,San Francisco,CA
Myc Realty Group,94109,Cluster 12,37.78869,-122.420376,San Francisco,CA
1630 Polk Rental,94109,Cluster 12,37.791969,-122.420979,San Francisco,CA
Penguin Adventures,94110,Cluster 7,37.735879,-122.422027,San Francisco,CA
1271 California Apts,94109,Cluster 6,37.791278,-122.415199,San Francisco,CA
Impark,94103,Cluster 9,37.773812,-122.417749,San Francisco,CA
Kwong Steven M,94109,Cluster 12,37.789253,-122.423428,San Francisco,CA
Delfina Restaurant,94110,Cluster 5,37.761535,-122.424315,San Francisco,CA
1026 Pine Rentals,94109,Cluster 6,37.790603,-122.412832,San Francisco,CA
1388 Sutter St Plaza,94109,Cluster 12,37.787397,-122.423011,San Francisco,CA
Macmurray Pacific,94103,Cluster 1,37.773423,-122.403701,San Francisco,CA
Jewelry Exchange Co The,94103,Cluster 1,37.767893,-122.406752,San Francisco,CA
Pizzeria Delfina,94110,Cluster 5,37.761549,-122.424077,San Francisco,CA
1404-1410 Florida  Apartments,94110,Cluster 11,37.749339,-122.40975,San Francisco,CA
1404-1410 Florida  Apartments,94103,Cluster 1,37.767924,-122.411701,San Francisco,CA
Theodore Marshall Acupuncture,94110,Cluster 11,37.757692,-122.418961,San Francisco,CA
Imperial Parking,94103,Cluster 9,37.771074,-122.41066,San Francisco,CA
1034 Sutter Apts,94109,Cluster 6,37.788097,-122.417481,San Francisco,CA
1390 Jackson St Apts,94109,Cluster 2,37.79462,-122.417799,San Francisco,CA
Adler Kurt S Inc,94103,Cluster 1,37.770475,-122.404476,San Francisco,CA
Carillon Tower,94109,Cluster 12,37.783839,-122.424386,San Francisco,CA
Duc Loi Supermarket,94110,Cluster 5,37.761832,-122.419356,San Francisco,CA
Hosfelt Gallery,94103,Cluster 1,37.76629,-122.40658,San Francisco,CA
Imperial Parking,94103,Cluster 5,37.769091,-122.419662,San Francisco,CA
452 Bartlett Apts,94110,Cluster 11,37.749697,-122.419315,San Francisco,CA
John Sutti & Associates Inc,94103,Cluster 9,37.769158,-122.415646,San Francisco,CA
Macmurray Pacific,94103,Cluster 1,37.773306,-122.404627,San Francisco,CA
1821 Hyde Apts,94109,Cluster 2,37.797622,-122.418751,San Francisco,CA
Kims Jewelry Supplies,94103,Cluster 4,37.784697,-122.407187,San Francisco,CA
996 Dolores St Apartments,94110,Cluster 11,37.753583,-122.425399,San Francisco,CA
1140 Howard St Bldg,94103,Cluster 9,37.777228,-122.410342,San Francisco,CA
46 Dearborn Apts,94110,Cluster 5,37.762428,-122.423013,San Francisco,CA
Harrison & Bonini,94103,Cluster 9,37.775108,-122.406856,San Francisco,CA
Hearst Building,94103,Cluster 4,37.787454,-122.403428,San Francisco,CA
Sunical Land And Livestock Div,94103,Cluster 4,37.787454,-122.403428,San Francisco,CA
637/41 Natoma St Bldg,94103,Cluster 9,37.777802,-122.410712,San Francisco,CA
Original Mccarthys,94110,Cluster 5,37.759747,-122.419155,San Francisco,CA
48 Dearborn St. Apts,94110,Cluster 5,37.762496,-122.423015,San Francisco,CA
The Hearst Corp,94103,Cluster 4,37.782192,-122.405815,San Francisco,CA
1488 Howard Bldg,94103,Cluster 9,37.773219,-122.415444,San Francisco,CA
Victor A Prieto Md,94109,Cluster 6,37.789561,-122.417112,San Francisco,CA
784-788 Dolores St Apts,94110,Cluster 5,37.75689,-122.425709,San Francisco,CA
Coastside Communications Inc,94109,Cluster 6,37.789609,-122.417122,San Francisco,CA
3430-3432 21st St Apts,94110,Cluster 5,37.756727,-122.424088,San Francisco,CA
2191 Mission St Apts,94110,Cluster 5,37.761954,-122.41937,San Francisco,CA
50 Dearborn St. Apts,94110,Cluster 5,37.762464,-122.423014,San Francisco,CA
Gary Bukovnik Studio,94103,Cluster 9,37.776661,-122.411065,San Francisco,CA
Andrew H Mann Architect,94103,Cluster 1,37.773111,-122.4044,San Francisco,CA
The Hearst Corp,94103,Cluster 4,37.782457,-122.406825,San Francisco,CA
52 Dearborn St. Apts,94110,Cluster 5,37.762433,-122.423013,San Francisco,CA
435 Utah Apts,94110,Cluster 1,37.76403,-122.40637,San Francisco,CA
1580 Jackson Apts,94109,Cluster 2,37.794187,-122.421068,San Francisco,CA
Lehrich William J Dpm Inc,94110,Cluster 7,37.746825,-122.420161,San Francisco,CA
Hearst Parking Corp,94103,Cluster 4,37.787093,-122.403064,San Francisco,CA
465 Dolores Apts,94110,Cluster 5,37.7619,-122.42605,San Francisco,CA
Glass Head,94110,Cluster 11,37.752602,-122.412992,San Francisco,CA
1020 Harrison Bldg,94103,Cluster 4,37.776748,-122.404748,San Francisco,CA
Jeffrey Pilotte Design,94110,Cluster 11,37.752582,-122.412799,San Francisco,CA
John Sutti & Associates Inc,94109,Cluster 2,37.796496,-122.421901,San Francisco,CA
Impark,94103,Cluster 9,37.771155,-122.419605,San Francisco,CA
53-65 Dorland Apts,94110,Cluster 5,37.762274,-122.425094,San Francisco,CA
1471 Jackson St Apartments,94109,Cluster 2,37.794427,-122.419215,San Francisco,CA
1345 Sacramento St Apartments,94109,Cluster 6,37.792252,-122.41501,San Francisco,CA
Spectrum Development Co,94110,Cluster 7,37.742571,-122.420488,San Francisco,CA
100 Dolores Apts,94103,Cluster 5,37.767745,-122.426771,San Francisco,CA
John Sutti & Associates Inc,94109,Cluster 12,37.790234,-122.423423,San Francisco,CA
643 7th St Bldg,94103,Cluster 1,37.772453,-122.402498,San Francisco,CA
Swensens Of San Francisco Inc,94109,Cluster 2,37.799212,-122.419066,San Francisco,CA
1650 Pacific Av Bldg,94109,Cluster 2,37.794901,-122.422539,San Francisco,CA
1275 Folsom Bldg,94103,Cluster 9,37.774131,-122.411166,San Francisco,CA
F Alioto Fish Co,94109,Cluster 2,37.807739,-122.419621,San Francisco,CA
Debra Walker,94110,Cluster 1,37.76241,-122.412108,San Francisco,CA
15 Lafayette St Building,94103,Cluster 9,37.773205,-122.417577,San Francisco,CA
912-916a S Van Ness Apts,94109,Cluster 12,37.784027,-122.420981,San Francisco,CA
383 Dolores St Apartments,94110,Cluster 5,37.763303,-122.426175,San Francisco,CA
307 Capp St Apartments,94110,Cluster 5,37.761652,-122.418245,San Francisco,CA
Jackson Rentals,94109,Cluster 12,37.793624,-122.425501,San Francisco,CA
Zebra Graphics Inc,94103,Cluster 9,37.775273,-122.409708,San Francisco,CA
Burger Joint,94110,Cluster 5,37.75985,-122.421405,San Francisco,CA
Aveda Experience Centers Inc,94103,Cluster 4,37.784904,-122.406929,San Francisco,CA
Ant Hill Productions,94110,Cluster 5,37.757607,-122.422802,San Francisco,CA
1280 Union St Apartments,94109,Cluster 2,37.79905,-122.420267,San Francisco,CA
Bernal Hill Realty,94110,Cluster 3,37.740658,-122.41639,San Francisco,CA
Barbara Scavullo Design Inc,94103,Cluster 1,37.768344,-122.403888,San Francisco,CA
341 10th St Building,94103,Cluster 9,37.772236,-122.412115,San Francisco,CA
Hertz Rent A Car,94109,Cluster 12,37.789301,-122.423055,San Francisco,CA
515 Valencia St Building,94110,Cluster 5,37.764548,-122.421848,San Francisco,CA
875a Bryant Bldg,94103,Cluster 4,37.774806,-122.404061,San Francisco,CA
1353 Stevenson Rentals,94103,Cluster 5,37.770696,-122.421693,San Francisco,CA
1175-1179 Vallejo Apts,94109,Cluster 2,37.797612,-122.416528,San Francisco,CA
Stortson Casting,94103,Cluster 5,37.769412,-122.417774,San Francisco,CA
4587 Mission St Bldg,94110,Cluster 7,37.724949,-122.434613,San Francisco,CA
Matarozzi Pelsinger Build Inc,94103,Cluster 9,37.771146,-122.413131,San Francisco,CA
2687-2689 Mission Bldg,94110,Cluster 11,37.754083,-122.418614,San Francisco,CA
David Elliott,94109,Cluster 12,37.782658,-122.422671,San Francisco,CA
14 Boardman Property,94103,Cluster 4,37.774906,-122.403307,San Francisco,CA
Billy James Michael,94103,Cluster 4,37.782131,-122.410418,San Francisco,CA
1045 Mission Lp,94103,Cluster 4,37.780048,-122.409878,San Francisco,CA
909 Hampshire Apts,94110,Cluster 11,37.757504,-122.407762,San Francisco,CA
132 Duncan St Apartments,94110,Cluster 7,37.746322,-122.423129,San Francisco,CA
167 Dolores Apts,94103,Cluster 5,37.766764,-122.426529,San Francisco,CA
Gamarra Alfred,94110,Cluster 3,37.736358,-122.417469,San Francisco,CA
186 Duncan Apts,94110,Cluster 7,37.746258,-122.424238,San Francisco,CA
Double Rainbow Ice Cream Inc,94103,Cluster 5,37.768743,-122.417833,San Francisco,CA
Herman Coliver Locus Architect,94103,Cluster 4,37.780602,-122.405017,San Francisco,CA
Mayo Sue & Associates,94109,Cluster 6,37.79132,-122.414873,San Francisco,CA
863 Bryant Bldg,94103,Cluster 4,37.774997,-122.403828,San Francisco,CA
35 Gilbert Bldg,94103,Cluster 1,37.774323,-122.403703,San Francisco,CA
859 Bryant Bldg,94103,Cluster 4,37.775025,-122.403794,San Francisco,CA
Hilde-Brand Furniture Inc,94110,Cluster 5,37.763401,-122.415121,San Francisco,CA
45 Gilbert Bldg,94103,Cluster 1,37.774152,-122.403494,San Francisco,CA
519 Guerrero St Apartments,94110,Cluster 5,37.762781,-122.423861,San Francisco,CA
861 Bryant Bldg,94103,Cluster 4,37.775029,-122.403789,San Francisco,CA
531 Guerrero St Apartments,94110,Cluster 5,37.762617,-122.423847,San Francisco,CA
Amer Canvas Products,94110,Cluster 3,37.739673,-122.408879,San Francisco,CA
American Canvas & Awning,94110,Cluster 3,37.739673,-122.408879,San Francisco,CA
869 Bryant Bldg,94103,Cluster 4,37.774982,-122.403846,San Francisco,CA
43 Gilbert Bldg,94103,Cluster 1,37.774201,-122.403555,San Francisco,CA
1436-1438 California St Apts,94109,Cluster 6,37.790906,-122.418103,San Francisco,CA
Dang Kim B - Dds,94109,Cluster 2,37.794086,-122.423016,San Francisco,CA
Rubinson David & Friends Etc,94103,Cluster 1,37.765571,-122.411081,San Francisco,CA
San Francisco Awnings,94110,Cluster 3,37.739673,-122.408879,San Francisco,CA
1608-1612 Harrison Bldg,94103,Cluster 9,37.770026,-122.413117,San Francisco,CA
39-45 Sycamore Apts,94110,Cluster 5,37.762649,-122.4204,San Francisco,CA
47 Gilbert Bldg,94103,Cluster 1,37.774104,-122.403437,San Francisco,CA
26 34 Boardman Bldg,94103,Cluster 4,37.774816,-122.403191,San Francisco,CA
451 6th St Building,94103,Cluster 4,37.776554,-122.403187,San Francisco,CA
451 Hayes St Apts,94109,Cluster 6,37.789609,-122.417122,San Francisco,CA
1645 Clay Apts,94109,Cluster 12,37.792486,-122.420252,San Francisco,CA
Hiura & Hiura,94109,Cluster 12,37.789931,-122.420561,San Francisco,CA
Royal Motor Sales,94103,Cluster 5,37.768642,-122.417827,San Francisco,CA
Everlasting Success Inc,94109,Cluster 6,37.790906,-122.418103,San Francisco,CA
Dunkirk & Associates,94103,Cluster 1,37.769163,-122.403954,San Francisco,CA
Royal Audi,94103,Cluster 5,37.768642,-122.417827,San Francisco,CA
Tikal,94110,Cluster 7,37.741668,-122.422421,San Francisco,CA
San Francisco Volvo,94103,Cluster 5,37.768642,-122.417827,San Francisco,CA
Loa Arts,94103,Cluster 1,37.752318,-122.39065,San Francisco,CA
1646 Sutter Apts,94109,Cluster 12,37.786844,-122.427467,San Francisco,CA
1861 Hyde St Apts,94109,Cluster 2,37.798074,-122.418845,San Francisco,CA
Unimart,94103,Cluster 9,37.776133,-122.411724,San Francisco,CA
San Francisco Mazda,94103,Cluster 5,37.768642,-122.417827,San Francisco,CA
1655-1661 Folsom Bldg,94103,Cluster 9,37.770352,-122.41533,San Francisco,CA
Royal Volkswagen,94103,Cluster 5,37.768642,-122.417827,San Francisco,CA
Angelina's Body Shop,94110,Cluster 11,37.750115,-122.41824,San Francisco,CA
1201 Green St Apts,94109,Cluster 2,37.798256,-122.419112,San Francisco,CA
Lush Lounge,94109,Cluster 12,37.788238,-122.420218,San Francisco,CA
Faces Etcetera,94109,Cluster 12,37.789713,-122.427528,San Francisco,CA
1492 California Apts,94109,Cluster 6,37.790807,-122.418854,San Francisco,CA
25 Duboce Ave Apts,94103,Cluster 5,37.769948,-122.420673,San Francisco,CA
Royal Motors Volvo,94103,Cluster 5,37.768642,-122.417827,San Francisco,CA
Harder + Co Community Research,94103,Cluster 1,37.766009,-122.403662,San Francisco,CA
Royal Motors Volkswagen,94103,Cluster 5,37.768642,-122.417827,San Francisco,CA
1234 Jones St Apts,94109,Cluster 6,37.792885,-122.414403,San Francisco,CA
Game Link Inc,94103,Cluster 4,37.781085,-122.410576,San Francisco,CA
Super Gigi,94110,Cluster 3,37.746676,-122.405527,San Francisco,CA
Scheiber Design Group Inc,94103,Cluster 1,37.769163,-122.403954,San Francisco,CA
746-752 Natoma St Bldg,94103,Cluster 9,37.77602,-122.412969,San Francisco,CA
Homs Grocery,94110,Cluster 5,37.763177,-122.423895,San Francisco,CA
754 Natoma St Bldg,94103,Cluster 9,37.775947,-122.413061,San Francisco,CA
758 Natoma St Bldg,94103,Cluster 9,37.775899,-122.413123,San Francisco,CA
Buy Sell Loan Inc,94110,Cluster 5,37.764099,-122.419588,San Francisco,CA
484 Guerrero Apts,94110,Cluster 5,37.76347,-122.424018,San Francisco,CA
750 Natoma St Bldg,94103,Cluster 9,37.776029,-122.412957,San Francisco,CA
Padilla Realty,94110,Cluster 5,37.76143,-122.426004,San Francisco,CA
Royal Motors Audi,94103,Cluster 5,37.768642,-122.417827,San Francisco,CA
1324 Pacific Apts,94109,Cluster 2,37.795617,-122.417156,San Francisco,CA
2850 26th St,94110,Cluster 11,37.749682,-122.407613,San Francisco,CA
123 Guerrero Apts,94103,Cluster 5,37.769327,-122.424512,San Francisco,CA
Royal Motors,94103,Cluster 5,37.768642,-122.417827,San Francisco,CA
3116 16th St Bldg,94103,Cluster 5,37.764899,-122.422212,San Francisco,CA
555 Guerrero Apartments,94110,Cluster 5,37.762272,-122.423817,San Francisco,CA
Royal Volvo,94103,Cluster 5,37.768642,-122.417827,San Francisco,CA
New Leaf Solutions Inc,94109,Cluster 6,37.784659,-122.416129,San Francisco,CA
Royal Mazda,94103,Cluster 5,37.768642,-122.417827,San Francisco,CA
